time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-01T00:04:06.480Z,32.9646667,-115.5578333,3.65,1.59,ml,23,72,0.06307,0.26,ci,ci37775776,2017-01-03T20:30:06.822Z,"3km WSW of Brawley, CA",earthquake,0.32,0.58,0.13,37,reviewed,ci,ci
2017-01-01T00:04:56.020Z,32.98,-115.5458333,11.5,2.68,ml,41,77,0.06553,0.26,ci,ci37775784,2017-01-03T19:11:24.320Z,"2km W of Brawley, CA",earthquake,0.24,0.46,0.196,64,reviewed,ci,ci
2017-01-01T00:05:09.390Z,33.7773333,-118.1338333,17.27,1.59,ml,25,142,0.05562,0.26,ci,ci37775792,2017-01-01T00:08:51.461Z,"4km SE of Long Beach, CA",earthquake,0.77,0.9,0.197,29,automatic,ci,ci
2017-01-01T00:06:31.010Z,32.967,-115.555,3.87,1.81,ml,17,84,0.06553,0.24,ci,ci37775800,2017-01-01T00:10:24.238Z,"3km WSW of Brawley, CA",earthquake,0.43,0.67,0.141,26,automatic,ci,ci
2017-01-01T00:07:12.980Z,32.9658333,-115.5521667,10.75,1.51,ml,12,89,0.06459,0.28,ci,ci37775808,2017-01-01T00:10:58.935Z,"2km SW of Brawley, CA",earthquake,0.79,1.35,0.198,11,automatic,ci,ci
2017-01-01T00:07:36.690Z,32.9643333,-115.5506667,3.21,1.69,ml,19,89,0.06326,0.22,ci,ci37775816,2017-01-01T00:11:18.977Z,"2km SW of Brawley, CA",earthquake,0.35,0.57,0.161,27,automatic,ci,ci
2017-01-01T00:08:25.920Z,32.9586667,-115.5488333,5.32,1.54,ml,18,86,0.05791,0.24,ci,ci37775824,2017-01-01T00:12:08.882Z,"3km SW of Brawley, CA",earthquake,0.44,0.87,0.152,26,automatic,ci,ci
2017-01-01T00:11:36.310Z,35.5498352,-120.7959976,6.21,1.7,md,13,106,0.09166,0.04,nc,nc72746765,2017-01-01T00:27:02.944Z,"8km W of Templeton, California",earthquake,0.51,1.37,0.25,8,automatic,nc,nc
2017-01-01T00:13:25.270Z,2.7973,127.6534,73.84,5,mb,,104,2.032,0.94,us,us10007p01,2017-01-01T00:32:39.040Z,"124km NNW of Tobelo, Indonesia",earthquake,3.4,7.3,0.066,76,reviewed,us,us
2017-01-01T00:13:34.350Z,32.9626667,-115.5418333,5.64,1.9,ml,25,86,0.06306,0.27,ci,ci37775840,2017-01-01T00:17:31.387Z,"2km SSW of Brawley, CA",earthquake,0.4,1.01,0.17,26,automatic,ci,ci
2017-01-01T00:17:05.950Z,32.957,-115.55,4.98,1.13,ml,19,84,0.0561,0.21,ci,ci37775848,2017-01-01T00:20:50.036Z,"3km SW of Brawley, CA",earthquake,0.4,0.89,0.264,3,automatic,ci,ci
2017-01-01T00:17:08.610Z,32.9608333,-115.5341667,3.92,2.01,ml,20,111,0.06327,0.23,ci,ci37775856,2017-01-01T00:21:08.406Z,"2km S of Brawley, CA",earthquake,0.42,0.69,0.223,26,automatic,ci,ci
2017-01-01T00:18:03.850Z,32.9731667,-115.5431667,6.95,2.15,ml,25,87,0.073,0.28,ci,ci37775864,2017-01-01T00:21:41.474Z,"1km WSW of Brawley, CA",earthquake,0.45,1.51,0.2,25,automatic,ci,ci
2017-01-01T00:19:08.290Z,32.9596667,-115.5553333,3.4,2.28,ml,27,75,0.05821,0.25,ci,ci37775880,2017-01-01T00:22:48.341Z,"3km SW of Brawley, CA",earthquake,0.38,0.68,0.183,25,automatic,ci,ci
2017-01-01T00:20:25.070Z,32.9661667,-115.5503333,5.69,1.62,ml,19,90,0.06511,0.21,ci,ci37775888,2017-01-01T00:24:04.615Z,"2km SW of Brawley, CA",earthquake,0.38,0.73,0.135,26,automatic,ci,ci
2017-01-01T00:22:02.870Z,32.9726667,-115.5496667,8.08,2.63,ml,31,87,0.0708,0.22,ci,ci37775896,2017-01-03T19:58:41.559Z,"2km WSW of Brawley, CA",earthquake,0.33,1.14,0.264,25,automatic,ci,ci
2017-01-01T00:31:03.610Z,38.8266678,-122.7518311,0.44,0.54,md,7,180,0.01062,0.31,nc,nc72746770,2017-01-01T00:33:49.646Z,"2km WNW of Cobb, California",earthquake,1.14,2.8,0.04,2,automatic,nc,nc
2017-01-01T00:33:08.050Z,32.9645,-115.5525,5.05,1.73,ml,23,85,0.06323,0.17,ci,ci37775904,2017-01-01T00:36:51.229Z,"3km SW of Brawley, CA",earthquake,0.35,0.73,0.249,26,automatic,ci,ci
2017-01-01T00:33:28.390Z,32.9255,-115.6441667,11.64,2.05,ml,7,132,0.07418,0.34,ci,ci37775912,2017-01-03T17:26:08.352Z,"11km NW of Imperial, CA",earthquake,1.29,1.47,0.42,18,automatic,ci,ci
